type seed time
mara   1        4.521861
mara   2        4.547939
mara   3        4.650551
mara   4        4.557433
mara   5        4.498238
mara   6        4.535585
mara   7        4.511544
mara   8        4.489528
mara   9        4.493004
mara   10        4.466696
malloc 1 5.426779
malloc 2 5.415032
malloc 3 5.335076
malloc 4 5.465667
malloc 5 5.412418
malloc 6 5.403721
malloc 7 5.425176
malloc 8 5.400703
malloc 10 6.016294
