type seed time
mara   1 1.303870
mara   2 1.306180
mara   3 1.329236
mara   4 1.326947
mara   5 1.305509
mara   6 1.324923
mara   7 1.304479
mara   8 1.318253
mara   9 1.310765
mara   10 1.411193
malloc 1 2.291002
malloc 2 2.302010
malloc 3 2.310805
malloc 4 2.266269
malloc 5 2.336421
malloc 6 2.295568
malloc 7 2.293794
malloc 8 2.295487
malloc 9 2.288457
malloc 10 2.174023
