type seed time
mara   1        0.260591
mara   2        0.277279
mara   3        0.241373
mara   4        0.258412
mara   5        0.265169
mara   6        0.241358
mara   8        0.257758
mara   7        0.263652
mara   9        0.277607
mara   10        0.270764
malloc 1 0.265218
malloc 2 0.274593
malloc 4 0.269313
malloc 3 0.279931
malloc 6 0.262710
malloc 5 0.278981
malloc 7 0.283058
malloc 8 0.287914
malloc 9 0.244207
malloc 10 0.241198
