type seed time
mara   1        0.009894
mara   2        0.006635
mara   3        0.007336
mara   4        0.006287
mara   5        0.006032
mara   6        0.006088
mara   7        0.006371
mara   8        0.013348
mara   9        0.007069
mara   10        0.013182
malloc 1 0.011692
malloc 2 0.018594
malloc 3 0.011368
malloc 4 0.016738
malloc 5 0.015249
malloc 6 0.016818
malloc 7 0.011727
malloc 8 0.017331
malloc 9 0.014057
malloc 10 0.019230
