type seed time
mara   1        4.829122
mara   2        4.878954
mara   3        4.644724
mara   4        4.611243
mara   5        4.683954
mara   6        4.676898
mara   7        4.627479
mara   8        4.632227
mara   9        4.640627
mara   10        4.685312
malloc 1 5.510655
malloc 2 5.622980
malloc 3 5.480470
malloc 4 5.485532
malloc 5 5.484127
malloc 6 5.484780
malloc 7 5.529691
malloc 8 5.541107
malloc 9 5.507577
malloc 10 5.401957
